P45985	Q14315
P25791	P25791
P17542	P25791
P62851	Q9HAU5
P05386	P05387
P05387	P05387
Q13795	Q15438
O95985	P14678
P09012	P09012
P48764	Q5T2W1
Q14916	Q5T2W1
P16157	Q5VST9
P48436	Q13285
P48552	Q13285
P10909	P10909
P10909	P37173
O14795	Q16623
O15304	P26842
P36897	P62942
P25490	P62942
P26885	Q9Y6D6
P17542	Q86XI2
P10599	Q15080
P10644	Q92667
P10644	Q13402
O43572	P10644
O15273	Q8WZ42
O00213	Q12800
P25208	Q03701
P37275	Q14919
P37275	Q92993
Q01094	Q99608
P00519	Q13315
P00519	P04629
P01112	P52306
P07332	Q96JZ2
P01116	P52306
P12931	P29323
P36897	P37173
P13805	P63316
P21580	Q86VP1
P04637	Q9NZC7
P04637	Q9UNH5
P19438	Q13200
P35968	P98077
P29353	Q16832
O60716	P12830
P12830	Q75N03
O00499	P56199
O75530	P13612
P15976	Q01543
P21333	P40337
P40337	P61758
P40337	Q6IE81
P18887	P49916
P18887	Q96T60
P17028	Q15697
P21506	Q13263
O15164	P21506
O15553	Q9UP83
Q13402	Q9HBM0
P23025	Q13156
P54725	Q01831
P21333	Q8IY22
P10275	P21333
O75962	P21333
P21333	P41180
P51610	Q06546
P50052	Q9ULD2
P51784	Q96S59
P23246	Q15233
O15530	P41743
P51813	Q16825
Q12816	Q13895
Q13485	Q99966
Q08043	Q86TC9
O14936	Q16650
O14936	P41134
P98164	Q92796
Q15303	Q92796
P62166	Q9NZN1
O15085	Q9ULL4
Q6ZN44	Q9Y5V3
P42704	Q9UBK9
O43463	P45973
Q05086	Q9UHD9
P51151	Q7Z6M1
O95600	P56545
Q6DKK2	Q9BZI7
Q9BZI7	Q9HAU5
Q96EZ8	Q9BZI7
O14980	Q9H4D5
Q99741	Q9Y5P8
O60220	Q92783
Q96B97	Q99963
P11532	Q9Y4J8
P42768	Q15642
O43307	Q9NQX3
O60828	P83876
O60828	Q9Y2W2
P15976	Q8WW38
O14832	P00451
O60880	Q13291
P63279	Q06787
P51114	Q06787
Q06787	Q9UHK0
P26038	Q92574
P00966	P10398
P10398	P36507
P10398	Q9UNS2
P09884	P29558
Q92834	Q96KN7
O43924	Q92834
O75970	P28335
O43747	P08247
P17480	P21675
P10275	P62826
P10275	P49116
P10275	Q9Y6Q9
P10275	P78317
P10275	Q13772
P10275	Q9NQU5
P10275	Q96S59
P10275	Q96PM5
O75928	P10275
O14599	Q05086
Q01101	Q9BX66
P25490	Q8IY57
Q13185	Q14739
P45973	Q14739
Q07866	Q9UPT6
Q13425	Q15303
Q07817	Q9NQS1
Q07817	Q12983
Q07817	Q16799
Q07817	Q9NQC3
Q07812	Q16548
O95477	Q13158
P98164	Q96QZ7
P98164	Q9H9E1
P98164	Q9P2M1
P98082	P98164
P98164	Q15700
P20226	Q15543
O43586	Q05209
P29353	Q05209
P49023	Q05209
Q9NNX1	Q9UBB9
Q08499	Q5VU43
P41235	Q92793
Q16236	Q92793
Q13569	Q92793
O43918	Q92793
O43747	Q10567
P42771	Q96SB3
Q8N726	Q96SB3
O95411	P52333
P42229	P52333
P46777	P63241
Q08117	Q9Y3E5
Q04724	Q96HZ4
Q04724	Q9Y261
P40189	Q04724
O14640	Q12929
P49327	P49327
O95985	P49454
P49454	P49454
P54198	Q92900
P54198	Q9UMS0
Q12923	Q16513
Q14574	Q99569
P38432	P54253
P40855	Q9Y5Y5
P53384	Q99608
P41235	Q15649
P41250	P41252
O43464	Q16539
Q16539	Q9Y6W6
Q15154	Q96RK4
P56945	Q13905
O15116	P28074
P31151	Q96S59
Q13045	Q9BWF2
P33240	P53999
Q05048	Q99728
O43543	O75771
O60682	Q02363
Q02363	Q99081
P15884	Q02363
O00623	P50542
P50542	Q92968
P53365	P62330
P52298	Q09161
Q16236	Q6P1K2
Q16236	Q9NZJ5
O95777	P38935
P48050	P78352
P16333	P54762
P16333	Q8N4C8
O00629	P46063
P46063	P52292
P78352	Q15303
P46937	Q15303
Q15303	Q15700
O75925	P42224
P29353	P49137
P25815	P25815
P63252	P78352
Q96CW1	Q9HBG7
Q13009	Q96SB3
P14866	P26599
P80217	Q13287
Q92777	Q92777
P49810	Q9Y2W7
Q15361	Q6NZI2
P46527	Q9UKX7
P53667	Q13873
P51114	Q96F07
O15357	Q9BX66
Q96T58	Q9Y618
Q05516	Q9Y618
P49918	P53667
Q16739	Q16799
P50454	Q9NRR5
P54257	Q13562
P54257	Q14203
O14964	P54257
P53618	Q9Y678
P53618	Q9UBF2
P98082	Q9UM54
Q13485	Q9NPI6
P56270	Q12830
Q07157	Q9Y624
P78536	Q12959
P61916	Q86SQ9
O15085	O43157
Q16548	Q9UMX3
Q16548	Q92934
P62312	P62316
P62318	Q9UK45
P62310	P62318
O95777	P62314
Q5T2W1	Q92887
Q13368	Q9BY67
P52888	Q9NZW5
P45983	Q9Y6W6
Q6UVK1	Q9C0E4
P43487	P62826
Q13416	Q99741
Q13416	Q9UBU7
O75419	Q13416
O43294	Q14289
P42345	Q9UMX0
O00499	P26006
O00499	O95219
P56945	P63104
P36894	Q15427
P49802	P98161
Q14103	Q9Y4Y9
O14640	Q76N89
Q8NEZ2	Q99816
P41212	Q92993
P10244	Q969S3
P63208	Q9HB71
Q13257	Q92731
P37231	Q13772
P11142	Q99933
O75807	Q99933
Q13322	Q6Y7W6
Q09472	Q92786
P54253	Q9NRR5
P39687	P54253
P54253	Q93009
O75530	Q15910
Q07666	Q13702
Q92754	Q99967
Q12967	Q92963
O14807	Q12967
P06401	Q05086
P54725	P55036
P54727	P55036
O95777	P78347
P10828	P62195
Q13077	Q9BWF2
Q13077	Q5T1R4
Q8IZH2	Q92925
Q93034	Q9UBF6
Q13263	Q15047
O00628	O14832
O00623	O60683
P49842	Q02447
Q14566	Q14566
O00287	P48382
Q12933	Q5T1R4
Q12933	Q9BWF2
O00311	Q13415
O43521	Q92843
Q13882	Q9UGK3
P20618	Q5RKV6
P20618	Q8IU60
O14974	Q14005
O00257	Q06587
P63000	Q8NF50
P52306	P63000
P53365	P63000
P15153	Q13616
O95777	P37837
Q86SS6	Q8NER1
O75410	O95619
O14744	P54105
Q14807	Q8IUQ4
Q86TG7	Q8IUQ4
Q8IUQ4	Q9HB71
O43255	Q86TG7
O15265	O43186
P46934	P62837
Q14919	Q9UNY4
Q13418	Q9H0C8
P48059	Q13418
P50570	Q9Y566
P50570	Q9UPX8
P63279	Q13867
P61296	Q14738
P61296	Q92905
P13569	Q9HD26
Q14493	Q8IV48
O15126	Q15811
Q8WWN9	Q99418
P48552	P51843
O60563	O94992
P35606	P49798
Q13163	Q99759
O00161	O95295
O00327	Q8IUM7
O14980	Q9H6Z4
Q08379	Q9H8Y8
P61326	Q9Y5S9
Q96QZ7	Q9UHC3
Q9H0E2	Q9NPH3
P23246	Q14192
O75530	Q12972
P60842	Q9HAU5
O43924	Q92730
P61587	Q13017
Q99729	Q9H3D4
Q15788	Q96RI1
P25205	P33992
O75419	P25205
P25205	Q9UBU7
O43913	P25205
O43929	P25205
O00311	P33992
Q09472	Q99967
O94985	Q99767
O15117	Q86WV1
P54619	Q9Y478
Q9UGJ0	Q9Y478
O43741	P54619
O43741	Q9UGJ0
P54619	Q9UGJ0
Q92973	Q99666
P63279	Q9Y6K1
P10828	Q9H0E9
P78317	Q9HBE1
Q99459	Q9UNY4
O60437	Q674X7
Q14151	Q15424
P53779	Q9UPT6
O15379	Q15759
O15105	Q8N2W9
Q15654	Q9HBW0
P50458	Q99967
O75461	Q8N488
O00422	P56282
P62324	Q99873
O15455	Q9NWF9
O00206	Q9NWF9
O60602	Q9NWF9
Q8IZP0	Q8N8S7
O15431	O15431
O75319	Q16629
O75319	Q13242
P84022	Q14511
Q13616	Q9UBF6
Q9H307	Q9UQ35
Q07820	Q92934
Q96EZ8	Q9UER7
O14981	P53602
O15360	P51532
Q14839	Q8IZH2
Q14155	Q9UPX8
O95271	Q96RU3
O15392	Q96GD4
Q15628	Q93038
Q13310	Q8IZH2
P26006	P47224
Q13546	Q9Y572
Q9UK45	Q9UKX3
O95999	Q9UDY8
O95999	Q96LW7
O75843	P61966
O43747	P61966
O43747	P56377
O75843	P56377
O75843	Q8IZH2
O75379	Q9BXS5
Q9HCN4	Q9UBB5
O95983	Q8WWY6
O95985	Q9HCK8
P57058	Q15276
O94941	P68036
Q14526	Q14526
Q5T2W1	Q9H015
O43572	Q5T2W1
Q13113	Q5T2W1
Q5T2W1	Q96S37
O00429	P49841
O60583	O94992
Q13619	Q9UBF6
Q13617	Q9UBF6
P51159	Q96C24
Q12815	Q13895
P49758	Q9NPF5
Q15697	Q15697
O75821	Q9NZW5
Q99996	Q9Y6A5
Q96RU3	Q99996
Q13105	Q9Y2L1
Q00722	Q96QT4
Q96RT1	Q99569
O15031	O15085
O15031	Q92730
O15116	Q9UBQ7
Q9UBF2	Q9Y678
A5D8V6	O14964
O75969	Q14344
O75791	Q13480
O75791	O95273
P11940	Q9UJX4
O75530	P38570
O60784	Q9H0E2
Q15025	Q9UNY4
Q9NPI6	Q9UNY4
Q8WUM4	Q9UNY4
Q13162	Q9UNY4
Q9H078	Q9UNY4
Q9UNY4	Q9Y6A5
O75716	Q9UJ70
Q8IZP0	Q9Y2A7
O95257	Q8TAE8
Q9UKS6	Q9UNF0
O14795	O15020
O14745	P48048
Q14155	Q9Y566
P49841	Q9H1J1
P41271	Q9UMX0
P07237	Q9UMX0
Q15633	Q15633
Q15075	Q9UL26
O94763	Q9NPF5
Q969H4	Q9NS23
Q14764	Q9UKK3
Q5TD97	Q5TD97
O75530	Q92769
Q99689	Q9NRI5
Q07820	Q9UMX3
Q13444	Q9Y5X1
Q9NR96	Q9NWF9
P62491	Q86YS3
Q01629	Q9H1J1
Q9UDY6	Q9UDY6
P17081	Q9HD26
P17081	Q9UPT5
P30039	Q9Y3F4
Q9H0D6	Q9H0E2
Q7Z7G0	Q9P2A4
Q96BK5	Q96EZ8
Q13162	Q13162
Q9BY11	Q9UKS6
Q9BY11	Q9BY11
Q9H3M7	Q9Y2Y4
O95196	Q9HD26
Q9HD26	Q9UHC3
Q9ULU4	Q9Y613
Q07912	Q96JZ2
O94829	P26367
Q96QT4	Q9NQ66
Q86WC4	Q9UGC6
O76081	Q86WC4
O00311	Q9Y5N6
Q9UPM8	Q9Y6B7
P35712	Q9BS16
O15116	Q9H270
O15116	Q96B26
O15116	Q5RKV6
O15116	O75113
O15116	Q9Y333
O95777	Q9Y333
P62310	Q9Y333
Q9UK45	Q9Y333
P62310	Q9UK45
P62310	Q9H0D6
P62310	Q969L4
Q8IZH2	Q9Y4Z0
P62312	Q96EZ8
P49005	P62312
Q96B26	Q9UK45
O14966	Q9UK45
Q5RKV6	Q9UK45
O95777	Q86Y22
O95777	Q9UBU7
O95777	Q9Y597
O95777	Q5RKV6
O95777	Q9NPI6
O95777	Q9BV44
O43918	O43918
Q9H8V3	Q9NPB6
P42704	Q66K74
P42704	Q9BXF3
P42704	Q9Y5Z4
P04792	Q9UJY1
P48643	Q8IZH2
P48643	Q9P2T0
Q13136	Q9Y2X7
O60506	Q06124
P10276	Q96F24
P10276	Q05516
P10276	Q9BV79
Q8TAT6	Q92890
P18848	Q96RU7
Q8IUM7	Q9HBZ2
O95453	Q9H0A9
P23246	Q9NQT4
P10828	Q15596
P10828	Q96F24
Q99684	Q9Y6X2
Q14511	Q96J02
O75530	Q96RS0
P03886	Q86SQ9
Q8TBZ2	Q99417
Q08397	Q9UBX5
P02795	Q15139
P16066	Q13976
P03891	P12931
P42566	Q9Y3C5
P48048	Q15599
Q14721	Q9UJ96
Q8TEY7	Q92813
P63279	Q12873
P63279	Q9NS56
O15534	Q16526
O15055	Q16526
O00327	Q16526
Q96IZ0	Q9NVV9
Q12873	Q8NC51
Q00613	Q92797
O60941	Q12840
O00311	P33991
P61968	Q99708
P24864	Q13618
O43491	P26885
O43491	P42261
O15018	Q9UQB3
O14775	P63218
O14775	P50150
O14775	P63215
O14775	O60262
O75915	Q9H0F7
Q7Z6M1	Q9Y2I7
P61204	Q9UJY4
Q99523	Q9UJY4
Q5RKV6	Q96B26
Q15024	Q5RKV6
Q96IT1	Q96L73
Q8N392	Q9NZW5
Q9NZW5	Q9Y448
Q01780	Q9NZW5
Q9NZW5	Q9Y5X1
P42285	Q9NZW5
Q9NY61	Q9NZW5
Q8TB72	Q8TB72
Q8TB72	Q8WY41
Q66PJ3	Q9H0F7
Q15041	Q9H0F7
O15160	P0DPB5
O15160	P0DPB6
Q969K3	Q96EY1
Q8NF91	Q8NF91
Q04206	Q9UNL4
P61923	Q9Y678
Q9P299	Q9Y678
Q8WXI2	Q96NW7
Q8IYI6	Q96KP1
Q9HAP6	Q9UHC3
Q14582	Q8TDR4
Q5T124	Q92730
Q5RKV6	Q96LL9
O77932	Q9H0D6
Q9H0D6	Q9HAU5
Q9H4I2	Q9UKY1
P49137	Q8IXK0
O00311	Q9UBU7
O15511	P59998
Q9UKY1	Q9UKY1
O76041	Q86TC9
Q6I9Y2	Q9GZT8
Q99816	Q9NZ52
P62136	Q96KR7
Q8NHH9	Q9H0F7
Q8N6S5	Q9H0F7
P51532	Q8NFD5
O94906	Q9NX01
O15083	Q13136
O15083	O75335
Q6XZF7	Q9UI08
Q8NEZ2	Q9UK41
P19429	Q9P0L9
P19429	Q59H18
Q9H8V3	Q9Y2M5
Q12962	Q15543
Q5RKV6	Q9Y3B2
O94921	Q92599
Q9UKI8	Q9Y294
Q9NVP2	Q9UKI8
Q86SG2	Q86TC9
Q08378	Q7Z5G4
Q6P0Q8	Q9BYE9
Q99942	Q9Y613
P49842	Q07864
P49842	P62487
P49842	Q99808
P49842	P78395
P18615	Q8WX92
O75376	P18615
P18615	Q8WUQ7
O00299	O15116
O95870	P13164
O95870	Q99942
O95870	Q8TCT9
O95870	Q9BVK8
O95870	Q9H0R3
O95870	Q96KC8
O95870	Q9NQ84
O75391	O95870
O95870	Q15424
O95870	P48201
P19784	P67870
P07948	P67870
P67870	P67870
P46777	P67870
O95243	P67870
O95873	P22607
O95670	P36543
Q9H8Y8	Q9Y3Q8
Q6ZU52	Q9P209
Q9HCM9	Q9HCM9
Q12933	Q99618
O94868	Q5M9N0
Q96PV6	Q9BQY4
P43364	Q9BQP7
P19012	Q7L590
Q13137	Q96S44
O60238	Q9P104
Q08E93	Q15834
Q7L590	Q8NHQ1
Q14533	Q9BQD3
P23528	P60709
P15622	Q15834
P25791	Q15555
Q01844	Q9NRG1
Q14134	Q9BSW2
Q96AJ1	Q9BW66
O75909	Q92997
Q96BY2	Q9H213
P43364	Q8TBB1
Q15274	Q9BQ66
P32321	Q8TBB1
P08670	Q53TS8
Q12933	Q96EK7
Q8WV24	Q9BQ66
Q8N6Y0	Q9P2K6
P24278	Q12933
Q969R5	Q9HAF1
Q15642	Q9Y2W2
Q9NX65	Q9NX65
P98175	Q9UKA9
O95257	P57060
P49888	Q8TC92
Q96HA1	Q9Y5P4
O15162	Q16630
O96006	Q9Y4P9
O00214	Q13137
Q15038	Q96GG9
P36406	Q9H4K1
Q13137	Q8TES7
P35520	Q9NP79
Q9BUL8	Q9Y6E0
Q15645	Q9H0W9
P53567	P55198
O14964	Q9UPT5
Q9H4T2	Q9NWS9
Q15834	Q7Z3B3
Q9BQD3	Q9GZQ8
Q01844	Q9NYG2
P18848	Q13227
P21673	Q96I25
Q12933	Q9NVF7
O43809	P60660
Q969Y2	Q9H4K1
Q99750	Q9NUU7
P41743	Q9NPB6
O60682	Q01844
Q93062	Q96SI9
Q15834	Q9HC98
P61981	Q6ZU52
Q86UW9	Q93062
O60269	Q15645
O60941	Q96A04
O15156	O75791
Q93062	Q9H0E2
Q9NQX7	Q9UBF6
P32242	Q9BQ66
O95197	P51116
P61457	Q6ZVK8
Q9UKI8	Q9UKI8
Q01844	Q8N4F4
P13807	P46976
P21266	P21266
Q93100	Q9GZN8
Q15274	Q9UMX1
Q03426	Q03426
Q96BS2	Q9NP66
Q6PJT7	Q9UPT5
P56597	Q8WWB3
Q5TAQ9	Q969Y2
O94989	Q9Y3A3
O15162	P50995
Q96CG3	Q9BXS5
O43298	Q8TAU3
O95751	Q8TBB1
O95471	Q9BQY4
P31947	Q92934
Q13137	Q53FD0
P61978	Q96IZ5
O95251	P08670
P08670	Q9BT92
P49639	Q99750
Q13137	Q8N715
Q8N6Y0	Q9H4K1
O15162	Q9Y272
Q8N5R6	Q9Y620
P19012	Q96GM5
Q15834	Q96AQ6
Q8N6Y0	Q8WWB3
O14641	P61457
O75541	Q15834
Q9NRF8	Q9NRF8
Q99750	Q9NRN7
Q15834	Q9GZT8
P43364	Q13490
O75909	Q9Y3Q8
P24522	Q13561
Q9NWS9	Q9NX65
P04259	P19012
Q16630	Q9NXP7
O95994	Q96HA1
Q53G59	Q9NZ81
Q8WUB8	Q969R5
O43299	Q99750
P62760	Q86UW9
Q9NRX4	Q9UJW3
L0R8F8	P43355
P43355	Q9NQG6
O60936	O60936
O00144	Q99750
P36406	P36406
Q8TBB1	Q9NTM9
P61457	P61457
P61978	Q8NE01
O75864	Q96E35
Q93062	Q9BRK4
P37198	Q7Z3B4
Q969U6	Q9BQ66
Q13643	Q8IXK0
P60520	Q9UH92
O43663	Q8N6Y0
Q9GZT8	Q9NRG1
P15531	Q96HA8
P40426	Q6RW13
O75928	Q8IVL1
Q0VDD7	Q9UFG5
Q53G59	Q53G59
Q15019	Q15038
O60504	Q6ZU52
Q8NEU8	Q9UKG1
O75909	Q15834
O14641	P45974
O15162	Q16526
P17509	P21673
Q96HA8	Q9H773
P57052	Q9BQY4
O43638	Q93062
Q96LR2	Q9BT49
O15162	P12236
O00167	Q96MA1
P08651	Q9BRT6
P15622	Q7Z7J5
O60232	P51946
P19012	Q15154
Q9UL45	Q9Y3C0
Q8NDC0	Q8NDC0
Q8N720	Q9NVM9
Q9UEU0	Q9UNK0
Q5M9N0	Q86YR5
P51116	Q8WVF5
P52789	Q9UMX0
P60709	Q9Y281
Q15038	Q15038
Q15834	Q9Y3M9
P43364	Q8IXB1
O15162	O95336
Q86SE5	Q9NVV9
P51116	Q93062
O15162	Q86UW9
O95985	Q9UKJ5
P56545	Q9UIF8
P43364	Q9BW11
P63279	Q8NDC0
O60568	Q15834
O75340	Q9Y5Z4
O94972	Q9H5Z6
Q9UL46	Q9UL46
Q15038	Q6P1W5
Q12933	Q13526
Q15834	Q53TS8
Q9BWD3	Q9UMX0
P43364	Q92530
O43739	Q969H4
P49910	Q8IYF1
Q13137	Q8TBB1
Q8NA61	Q9Y2I6
Q8NHQ8	Q96NE9
Q00994	Q15834
P49789	P49789
O75909	Q7Z6G3
O95751	Q96PV7
O14641	Q9UNA4
Q92530	Q9NR12
Q15038	Q5VWP2
O00160	Q01844
O95251	Q8NHQ1
Q96G97	Q96HH6
O94972	Q96M61
Q01844	Q9BQD3
Q12929	Q9UL45
O43402	Q15006
P51116	Q9BXS5
O14639	P08670
Q96G97	Q9BZL3
P08670	Q9GZT8
P25208	Q14919
O15162	P49639
Q96BD8	Q9UL45
O95751	Q9UGP5
O60941	P37198
P43364	Q9Y375
P60709	P60709
P49910	Q15834
Q96LK0	Q9BQD3
Q9P286	Q9UGJ1
O43765	P10451
Q969Y2	Q9NP50
Q96EZ8	Q9BQD3
Q96AQ9	Q96EY1
P49366	Q9GZT8
Q9BQY4	Q9BRG1
Q15834	Q8N8B7
Q96MT8	Q9NS73
O94972	Q8IYF1
Q6UY11	Q6UY14
Q0VDD7	Q3YEC7
Q96EV8	Q9P2A4
Q12933	Q70EK8
Q99750	Q9H5Z6
O14641	Q8N5R6
O75525	Q9H9D4
Q8N6Y0	Q96MT8
P04637	Q96M61
P62308	Q96D03
Q8TAI1	Q99750
Q03154	Q99614
P49902	Q6ZVK8
P35900	Q8IYI6
O43889	Q9UNK0
P63279	Q96B23
P08651	Q96J77
Q16799	Q8N612
O95810	Q6ZVK8
O00505	P07910
Q14966	Q9H0M0
O00273	Q7Z6G3
Q86SE5	Q8TAP4
O75478	Q8IYI6
P62324	Q9UFF9
O15162	Q6UY11
Q15834	Q96GM5
P31269	Q15654
P25786	Q7Z6G3
P26368	P78362
Q14241	Q9Y2I6
Q15834	Q9UJ04
O15162	Q9UQ90
O96015	Q96FJ2
O14508	Q05397
P60520	Q92609
Q9H8W4	Q9UL45
Q0VDD7	Q13227
Q6ZU52	Q8IYF3
O95199	Q9BT78
Q15834	Q96M91
P63010	Q6ZU52
Q9BU76	Q9H190
O60568	Q9BQY4
O43597	Q9BSJ1
Q9BY11	Q9UNF0
Q15654	Q9H5Z6
Q12933	Q9NVZ3
P12236	Q9BQ66
Q93062	Q96K80
P48380	Q12933
P60520	Q13501
O94972	Q9UBZ4
O43765	Q9Y624
Q8IYF3	Q9Y6D9
O95257	Q99598
Q02040	Q99750
P0DPQ6	Q9BPX1
P35638	Q9BPX1
P55198	Q96RN5
P53992	Q15437
Q13526	Q9Y3Q8
Q9NZD8	Q9UJY4
Q15038	Q8N1L9
Q14596	Q9NP79
P68402	Q15102
Q9BUH8	Q9H4K1
P19012	Q9NTK1
Q8TBE0	Q99750
O14964	P08727
P63261	Q9Y281
O76083	Q13049
O00505	Q9Y247
Q01844	Q5VWX1
O75791	Q7L4P6
Q9NR12	Q9P286
P36406	Q8NFF5
Q14847	Q15645
Q96G97	Q9NZ43
O94907	Q99750
O76071	Q96M83
P22234	Q8TAP6
P05783	Q9UGJ1
Q0D2I5	Q13426
O95197	P43378
Q8WZ19	Q9H6L4
Q02040	Q15834
Q53H80	Q9NZD8
Q8WU10	Q96BW1
Q5JR59	Q9H4K1
Q96HA8	Q9BPX1
P08727	Q9BY27
Q14213	Q99750
O15162	Q14847
O94993	Q13145
P51808	Q13409
O75175	Q9NZN8
P50402	Q969F0
Q5JVL4	Q8IYF3
O75528	Q96ES7
P14927	P43358
Q9UBE0	Q9UBT2
P04899	Q99750
P46952	Q99259
P08670	Q9BVI4
O95671	O95671
O95751	Q6ZN18
O60232	Q53TS8
Q99750	Q9BUY5
Q93062	Q9BQY4
O75604	Q96ED9
P21964	Q15645
O43298	P49407
Q24JQ0	Q99750
Q06455	Q9P2A4
A8K8P3	P08727
Q9BQ66	Q9NX63
Q9BQY4	Q9H0E2
Q8N7W2	Q9GZT8
Q8N5R6	Q9Y2I6
Q96QU6	Q96QU6
O95967	O95990
P19012	Q8IYI6
Q07955	Q8TBB1
Q8NHQ1	Q9P2K3
O95251	P49910
Q8IV36	Q9BUH8
Q8TC92	Q9GZT8
O15162	Q9HB63
Q9Y2I6	Q9Y6D9
P98170	Q96HA8
