,Unnamed: 0,site_id,well_id,cell_type,dataset,experiment,plate,well,site,well_type,sirna,sirna_id
55000,96822,HUVEC-15_2_G13_1,HUVEC-15_2_G13,HUVEC,train,HUVEC-15,2,G13,1,treatment,s18478,134
55001,96823,HUVEC-15_2_G13_2,HUVEC-15_2_G13,HUVEC,train,HUVEC-15,2,G13,2,treatment,s18478,134
55002,96824,HUVEC-15_2_G14_1,HUVEC-15_2_G14,HUVEC,train,HUVEC-15,2,G14,1,treatment,s18442,402
55003,96825,HUVEC-15_2_G14_2,HUVEC-15_2_G14,HUVEC,train,HUVEC-15,2,G14,2,treatment,s18442,402
55004,96826,HUVEC-15_2_G15_1,HUVEC-15_2_G15,HUVEC,train,HUVEC-15,2,G15,1,treatment,s19714,713
55005,96827,HUVEC-15_2_G15_2,HUVEC-15_2_G15,HUVEC,train,HUVEC-15,2,G15,2,treatment,s19714,713
55006,96828,HUVEC-15_2_G16_1,HUVEC-15_2_G16,HUVEC,train,HUVEC-15,2,G16,1,treatment,s228540,1059
55007,96829,HUVEC-15_2_G16_2,HUVEC-15_2_G16,HUVEC,train,HUVEC-15,2,G16,2,treatment,s228540,1059
55008,96830,HUVEC-15_2_G17_1,HUVEC-15_2_G17,HUVEC,train,HUVEC-15,2,G17,1,treatment,s19319,38
55009,96831,HUVEC-15_2_G17_2,HUVEC-15_2_G17,HUVEC,train,HUVEC-15,2,G17,2,treatment,s19319,38
55010,96832,HUVEC-15_2_G18_1,HUVEC-15_2_G18,HUVEC,train,HUVEC-15,2,G18,1,treatment,s18457,586
55011,96833,HUVEC-15_2_G18_2,HUVEC-15_2_G18,HUVEC,train,HUVEC-15,2,G18,2,treatment,s18457,586
55012,96834,HUVEC-15_2_G19_1,HUVEC-15_2_G19,HUVEC,train,HUVEC-15,2,G19,1,treatment,s20330,363
55013,96835,HUVEC-15_2_G19_2,HUVEC-15_2_G19,HUVEC,train,HUVEC-15,2,G19,2,treatment,s20330,363
55014,96836,HUVEC-15_2_G20_1,HUVEC-15_2_G20,HUVEC,train,HUVEC-15,2,G20,1,treatment,s18520,198
55015,96837,HUVEC-15_2_G20_2,HUVEC-15_2_G20,HUVEC,train,HUVEC-15,2,G20,2,treatment,s18520,198
55016,96838,HUVEC-15_2_G21_1,HUVEC-15_2_G21,HUVEC,train,HUVEC-15,2,G21,1,treatment,s228544,564
55017,96839,HUVEC-15_2_G21_2,HUVEC-15_2_G21,HUVEC,train,HUVEC-15,2,G21,2,treatment,s228544,564
55018,96840,HUVEC-15_2_G22_1,HUVEC-15_2_G22,HUVEC,train,HUVEC-15,2,G22,1,treatment,s18718,1053
55019,96841,HUVEC-15_2_G22_2,HUVEC-15_2_G22,HUVEC,train,HUVEC-15,2,G22,2,treatment,s18718,1053
55020,96842,HUVEC-15_2_G23_1,HUVEC-15_2_G23,HUVEC,train,HUVEC-15,2,G23,1,treatment,s17960,861
